id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,time_signature
3RfkdH5PGEn0pJpbV4H8qp,0.883,0.442,0.11199999999999999,0.0,1,0.138,-15.924000000000001,1,0.0298,85.01,0.33299999999999996,4
4AWWhhiqGs1yORSThltL8X,0.835,0.35100000000000003,0.444,0.0,7,0.139,-14.463,1,0.0315,173.632,0.912,4
0vdGBpnBBiimRqS3DgLk8A,0.46399999999999997,0.611,0.282,5.15e-06,4,0.145,-12.13,1,0.0246,98.958,0.304,3
1wNlPezvH9MiGYtuJHG4Pj,0.9159999999999999,0.185,0.27699999999999997,0.00147,4,0.255,-18.858,1,0.0364,91.012,0.358,4
58KvzPxBk7iakPHKKs2tDw,0.512,0.466,0.39,0.0,5,0.354,-17.902,1,0.0333,126.542,0.861,4
3cwYFjQ1A0k3rxwc6ylg6I,0.9359999999999999,0.27699999999999997,0.37799999999999995,0.000169,10,0.10099999999999999,-10.499,1,0.0337,68.015,0.627,4
3CRleouvOwO8chxzO8EQgq,0.529,0.408,0.602,0.0,9,0.131,-7.65,0,0.0439,200.40900000000002,0.9129999999999999,4
1vsi4F7CDORvi2vXEazHYS,0.96,0.405,0.243,0.7090000000000001,5,0.0855,-18.333,1,0.0337,116.544,0.158,4
14Crwvql0nS0AXiWYtBBTR,0.287,0.605,0.38799999999999996,0.0,9,0.151,-10.665,1,0.0415,130.565,0.47100000000000003,4
6dA9OR1MrsVUBQJLXfecLh,0.703,0.679,0.889,5.73e-06,5,0.415,-5.72,0,0.0433,163.79,0.943,4
5s9LFJ5YB04OrVJ9x3CI4s,0.727,0.838,0.718,0.0,7,0.0672,-5.428,1,0.0365,127.564,0.9470000000000001,4
4Cn4BUIv3TS0uZG45YXvUP,0.762,0.396,0.237,0.0029,4,0.149,-15.722999999999999,1,0.0406,74.553,0.52,4
7zKSUNJL0OSY3WtdeoCCte,0.8220000000000001,0.478,0.536,0.0143,4,0.107,-8.148,1,0.0451,102.137,0.499,4
6Cd52FA5ImSNZJJMiBXyqi,0.6809999999999999,0.172,0.244,1.05e-06,5,0.9490000000000001,-11.524000000000001,1,0.034,168.519,0.0785,5
0ZqhPLdc7yEv6iADB7no3F,0.614,0.596,0.627,0.0,1,0.14,-6.117000000000001,1,0.0395,121.156,0.838,4
60DbxCJXFG9ZryHHvUPTXG,0.79,0.758,0.462,1.25e-05,5,0.17,-8.952,0,0.0482,120.00399999999999,0.726,4
6VS6fZGJEALHdp04cG4Qq7,0.892,0.37200000000000005,0.217,7.06e-06,11,0.149,-13.459000000000001,1,0.0324,152.81799999999998,0.611,4
6TdAcAgVw7Z8pzU2KswtvH,0.794,0.45,0.8370000000000001,1.21e-06,8,0.102,-5.7620000000000005,1,0.05,142.828,0.9109999999999999,4
0RTkpGULCWBGHFbJptu3RQ,0.4,0.478,0.45299999999999996,6.4e-06,9,0.126,-7.046,1,0.0271,108.04299999999999,0.44299999999999995,3
5GZwncizsUYAdrNm7QSd9J,0.5710000000000001,0.593,0.311,3.12e-06,7,0.153,-11.39,0,0.0415,133.109,0.6729999999999999,4
1v3J8TJU6Z9l1BcPpb77sl,0.175,0.608,0.531,0.000495,10,0.127,-12.023,1,0.0308,147.029,0.948,4
6R1FvRO3sAh7mvfR49kqku,0.804,0.637,0.784,2.35e-06,0,0.138,-5.085,1,0.06,79.09,0.96,4
6hPlKtsqfFMKhYEzHpgrgb,0.963,0.23399999999999999,0.27699999999999997,0.00827,0,0.541,-9.701,1,0.0334,89.17200000000001,0.113,3
2798AxabvjLGMZkGxbE6cb,0.16399999999999998,0.54,0.932,0.8690000000000001,9,0.171,-9.347000000000001,1,0.0339,157.623,0.925,4
1aOWQh759ZSHiAdt8jEqLV,0.395,0.629,0.679,3.09e-05,7,0.0947,-7.9079999999999995,1,0.0318,151.657,0.8640000000000001,4
5lgNRKqoMZIfjL4waBliDu,0.46299999999999997,0.602,0.41100000000000003,0.0,7,0.235,-10.841,1,0.0558,134.25,0.7190000000000001,4
59iwhSAXb8TpIOj7cPOkSw,0.552,0.499,0.579,0.0,10,0.272,-11.035,1,0.0428,148.543,0.853,4
1GX1SoLS7s676ilwcen13Y,0.4,0.536,0.708,0.0,2,0.15,-6.972,1,0.0323,105.223,0.9359999999999999,4
1Ke05Fqa9M0D6IJuzSJS0L,0.635,0.773,0.402,0.00041799999999999997,5,0.145,-10.634,1,0.0519,125.277,0.961,4
3beAetuwJ1Zwn8CmYMrmN3,0.693,0.364,0.727,0.0,0,0.098,-12.719000000000001,1,0.0405,166.50099999999998,0.8809999999999999,4
3rjwKwMDoZK5mXFTZf9QGn,0.584,0.447,0.765,0.0,2,0.19899999999999998,-8.853,1,0.11599999999999999,177.205,0.915,4
5PD0tEbSA5UAaj06V8EeBG,0.716,0.8109999999999999,0.546,0.32799999999999996,5,0.124,-8.516,1,0.0462,114.115,0.9390000000000001,4
